,A,B
1/1/2001,0.647034483,0.6674
1/2/2001,0.644276505,0.6698
1/3/2001,0.651110512,0.6677
1/4/2001,0.649010985,0.6671
1/5/2001,0.644923053,0.6672
1/8/2001,0.643683522,0.6695
1/9/2001,0.64719578,0.6694
1/10/2001,0.650032779,0.6656
1/11/2001,0.652238529,0.6691
1/12/2001,0.655573417,0.6671
1/15/2001,0.65578262,0.6654
1/16/2001,0.655120735,0.664
1/17/2001,0.655847382,0.6615
1/18/2001,0.656372098,0.6613
1/19/2001,0.655645393,0.6617
1/22/2001,0.655095956,0.6661
1/23/2001,0.659323732,0.6619
1/24/2001,0.658997912,0.6612
1/25/2001,0.657780805,0.6637
1/26/2001,0.658526853,0.6648
1/29/2001,0.660086624,0.666
1/30/2001,0.659641899,0.665
1/31/2001,0.657473962,0.6677
2/1/2001,0.657282402,0.6692
2/2/2001,0.656357394,0.6681
2/5/2001,0.658278397,0.6636
2/6/2001,0.659331145,0.6623
2/7/2001,0.660315983,0.6623
2/8/2001,0.661028024,0.6623
2/9/2001,0.660577002,0.6617
2/12/2001,0.661280915,0.6571
2/13/2001,0.661692625,0.6571
2/14/2001,0.662514844,0.6542
2/15/2001,0.663925965,0.6535
2/16/2001,0.660516044,0.6494
2/19/2001,0.659887373,0.6518
2/20/2001,0.65683277,0.6496
2/21/2001,0.654518884,0.6509
2/22/2001,0.65318677,0.6496
2/23/2001,0.652207697,0.6506
2/26/2001,0.654122703,0.6545
2/27/2001,0.652759729,0.6538
2/28/2001,0.652363227,0.6509
3/1/2001,0.652233957,0.6463
3/2/2001,0.652809115,0.6474
3/5/2001,0.652423284,0.6471
3/6/2001,0.654821934,0.6499
3/7/2001,0.65596614,0.6452
3/8/2001,0.656112057,0.6463
3/9/2001,0.655400677,0.6465
3/12/2001,0.650140064,0.6447
3/13/2001,0.653431883,0.6478
3/14/2001,0.651346928,0.6422
3/15/2001,0.652947605,0.6411
3/16/2001,0.651650729,0.6376
3/19/2001,0.652196702,0.6385
3/20/2001,0.649907445,0.6383
3/21/2001,0.648407897,0.635
3/22/2001,0.646542031,0.6373
3/23/2001,0.648694792,0.6391
3/26/2001,0.649556804,0.642
3/27/2001,0.651458999,0.6373
3/28/2001,0.648941063,0.6389
3/29/2001,0.645521557,0.6361
3/30/2001,0.644597576,0.6345
4/2/2001,0.639576117,0.6327
4/3/2001,0.633974334,0.6343
4/4/2001,0.63558547,0.6356
4/5/2001,0.641130181,0.6355
4/6/2001,0.639354977,0.6391
4/9/2001,0.639313188,0.6394
4/10/2001,0.643359758,0.6429
4/11/2001,0.644107946,0.6399
4/12/2001,0.648006206,0.6403
4/13/2001,0.647543449,0.6406
4/16/2001,0.648290079,0.6402
4/17/2001,0.648104643,0.6391
4/18/2001,0.650332894,0.6393
4/19/2001,0.651211567,0.6458
4/20/2001,0.646243274,0.6473
4/23/2001,0.641700127,0.6458
4/24/2001,0.641051756,0.647
4/25/2001,0.643130494,0.6459
4/26/2001,0.644807635,0.6483
4/27/2001,0.647561029,0.6485
4/30/2001,0.645694741,0.6515
5/1/2001,0.647964895,0.6526
5/2/2001,0.648321129,0.6529
5/3/2001,0.64651347,0.6523
5/4/2001,0.649212428,0.6514
5/7/2001,0.647477094,0.6487
5/8/2001,0.648437803,0.6484
5/9/2001,0.648681454,0.6499
5/10/2001,0.649832598,0.648
5/11/2001,0.649693661,0.645
5/14/2001,0.648242616,0.6441
5/15/2001,0.649274576,0.6471
5/16/2001,0.652663739,0.6498
5/17/2001,0.653181461,0.651
5/18/2001,0.654079665,0.6522
5/21/2001,0.654105843,0.6507
5/22/2001,0.653529071,0.6493
5/23/2001,0.651482286,0.6446
5/24/2001,0.653137916,0.6467
5/25/2001,0.652289949,0.647
5/28/2001,0.652535909,0.6479
5/29/2001,0.650515273,0.651
5/30/2001,0.648665361,0.6481
5/31/2001,0.64769539,0.6502
6/1/2001,0.650035884,0.6511
6/4/2001,0.65054403,0.6507
6/5/2001,0.652067089,0.6532
6/6/2001,0.650955402,0.6565
6/7/2001,0.65179805,0.6573
6/8/2001,0.651823925,0.6591
6/11/2001,0.65123984,0.6582
6/12/2001,0.65151883,0.6561
6/13/2001,0.650376046,0.6592
6/14/2001,0.648570715,0.6577
6/15/2001,0.648050254,0.6562
6/18/2001,0.6469913,0.6518
6/19/2001,0.64800714,0.6519
6/20/2001,0.64777461,0.6522
6/21/2001,0.650073554,0.6564
6/22/2001,0.650340221,0.6568
6/25/2001,0.649540695,0.6591
6/26/2001,0.648502455,0.6592
6/27/2001,0.648083461,0.6593
6/28/2001,0.649645871,0.6569
6/29/2001,0.652185573,0.6604
7/2/2001,0.653493262,0.6605
7/3/2001,0.65313101,0.6618
7/4/2001,0.653212026,0.6617
7/5/2001,0.65163265,0.661
7/6/2001,0.650346354,0.6568
7/9/2001,0.650329308,0.6573
7/10/2001,0.650310124,0.658
7/11/2001,0.649488928,0.6555
7/12/2001,0.652447272,0.6546
7/13/2001,0.653295861,0.6508
7/16/2001,0.650365339,0.6503
7/17/2001,0.650741427,0.65
7/18/2001,0.649578515,0.6506
7/19/2001,0.65002519,0.6492
7/20/2001,0.649496873,0.648
7/23/2001,0.648182349,0.6474
7/24/2001,0.646588081,0.6494
7/25/2001,0.648316922,0.6508
7/26/2001,0.649302073,0.6522
7/27/2001,0.651306292,0.653
7/30/2001,0.650184602,0.6537
7/31/2001,0.648399765,0.652
8/1/2001,0.64980184,0.6511
8/2/2001,0.649731443,0.6518
8/3/2001,0.64956844,0.654
8/6/2001,0.649126205,0.656
8/7/2001,0.649694238,0.6512
8/8/2001,0.648489535,0.6517
8/9/2001,0.648875001,0.6494
8/10/2001,0.649482945,0.6492
8/13/2001,0.649751331,0.6503
8/14/2001,0.649121224,0.651
8/15/2001,0.64814488,0.6548
8/16/2001,0.648396406,0.6504
8/17/2001,0.646268822,0.6488
8/20/2001,0.646018546,0.6473
8/21/2001,0.644332245,0.6459
8/22/2001,0.646288364,0.6487
8/23/2001,0.646527974,0.6493
8/24/2001,0.648078112,0.6495
8/27/2001,0.647948048,0.6493
8/28/2001,0.645883144,0.6498
8/29/2001,0.644573461,0.6472
8/30/2001,0.64170187,0.6475
8/31/2001,0.641137367,0.6448
9/3/2001,0.641219893,0.6447
9/4/2001,0.639845365,0.6416
9/5/2001,0.639098801,0.6426
9/6/2001,0.637632443,0.6422
9/7/2001,0.638082089,0.6387
9/10/2001,0.635344574,0.6398
9/11/2001,0.631532405,0.6391
9/12/2001,0.632051949,0.6402
9/13/2001,0.637532986,0.6384
9/14/2001,0.636854895,0.6394
9/17/2001,0.631759124,0.6368
9/18/2001,0.631758922,0.6361
9/19/2001,0.630055774,0.6374
9/20/2001,0.627190479,0.6363
9/21/2001,0.627898514,0.6364
9/24/2001,0.629773961,0.6369
9/25/2001,0.631024131,0.6367
9/26/2001,0.631682918,0.6361
9/27/2001,0.636855598,0.6335
9/28/2001,0.638232099,0.6332
10/1/2001,0.637683452,0.6361
10/2/2001,0.63772262,0.6379
10/3/2001,0.637474188,0.6376
10/4/2001,0.63694535,0.6372
10/5/2001,0.636662828,0.6402
10/8/2001,0.636956871,0.6402
10/9/2001,0.636296322,0.6388
10/10/2001,0.637805644,0.6379
10/11/2001,0.639439127,0.639
10/12/2001,0.637676974,0.6398
